index	word	valence	freq
43	state	-1.057364298030734	165082
40	year	-1.0048460452817378	163454
46	time	-0.7911922805942595	145928
80	city	-1.9831157975568203	113581
240	late	-0.512716256082058	106299
140	world	-0.8519914080388844	94435
83	government	-1.0274593029171228	86112
86	people	-0.8778351021464914	84413
69	call	0.7603088626638055	81702
99	write	0.8416846427135171	78994
92	century	-0.6588429070543498	77164
50769	states	-0.5547701760660857	76193
162	party	-1.2182975015603006	74883
264	national	-0.5745535483583808	72910
108	group	-0.6577513955999166	71591
164	school	-0.7974712008144706	68499
115	area	-1.678066726308316	68350
122	force	-1.3449735882459208	66553
106	system	-1.0326268109492958	66258
518	university	-1.4943846617825332	63645
95	give	0.5700767198577523	58768
432	house	-1.5269904742017388	58118
188	great	0.8191989723127335	57224
21733	numb	1.1586021073162556	55909
269	court	-1.0378357799490914	54877
422	south	-0.9297077916562556	53525
142	political	0.7096221938263625	52036
420	north	-1.0122535829432309	51518
143	power	-0.7392436946975067	50757
329	church	-1.998596106655896	50498
186	record	-1.1286210713005858	49744
138	order	-0.7731713326647878	49328
187	game	-0.8128432921366766	48449
253	build	-0.5867258139187471	46553
195	major	-0.8444343835581094	46373
166	remain	-0.5521046184003353	45257
175	population	-1.3291711759520697	44944
199	vote	-0.5277844183729029	44293
211	team	-1.4948700899258256	43922
230	company	-1.7000637270975858	43865
213	season	-0.6972431155154482	43231
170	consider	0.5299234393460209	42024
222	home	-1.3041724147624336	41989
184	child	-0.5754708309541456	41270
207	continue	-0.5292928618146107	40200
196	describe	0.8271793145686388	39942
216	human	0.6708925005514175	39744
215	period	-0.8096087272278965	39001
220	language	-0.8374774841358885	38788
223	line	-1.1001196599099785	38673
232	water	-0.8967501716688275	38517
234	military	-0.6908636633306742	37646
1873	march	-0.6761990643572062	37513
651	west	-1.1224287666263992	37225
514	king	-1.3063454404473305	36654
272	land	-1.5825734110549092	36104
229	establish	-0.5598592509049922	36024
238	rule	-1.0745583149255251	35582
219	different	0.5051510413177311	35397
255	social	0.975645595230162	35011
261	campaign	-0.6740711361635476	33958
259	local	-0.5635970868170261	33672
688	east	-1.1892796448664742	33581
363	black	0.708735951804556	33476
271	region	-1.9595502841402777	33368
298	plan	-0.9287342457100748	33291
245	position	-0.5029768517706543	33247
39477	july	-0.8816436403430998	31960
344	office	-0.6651683775708079	31877
247	believe	0.5443439651280642	31745
504	center	-0.6200137813575566	31645
492	island	-1.1202006628736854	31618
732	river	-1.553992472589016	30919
726	college	-0.5480579771101475	30301
556	central	-0.9867397577036172	29567
760	county	-1.56135791586712	29405
353	town	-1.676127266138792	29283
327	community	-1.2986198323778808	29217
382	think	0.7700297314440832	28822
204	move	-0.6018047779798508	28796
370	young	0.7122026402503252	28779
286	body	-0.8133505337173119	28443
292	month	-1.1218177746050058	28439
465	western	-0.8973528523929417	28434
282	attempt	-0.6360185224330053	28328
308	pass	-0.9243620962370188	28246
524	battle	-0.6974304706673138	28102
336	field	-0.8312655556946993	27924
335	organization	-0.5350348638603464	27877
559	district	-1.8652435280382635	27864
312	action	0.7801391284447163	27703
1030	league	-1.8640337260439992	26659
381	interest	-0.5121240483131261	26487
333	title	-0.5499261450022459	26487
304	occur	-0.579187257681042	26391
379	father	-1.3309813879895955	26126
212	good	0.8751367097720504	25661
682	roman	-0.7737593406345695	25556
1177	council	-0.9787733073462732	25335
1047	park	-1.4055648292414844	24991
348	production	-0.6053565157344565	24985
360	fall	-0.7999729197472334	24980
408	business	-0.6542023122310638	24483
445	song	-0.501921683200635	24480
356	offer	0.5033092810772359	24332
395	market	-0.8180463546887041	24166
330	argue	0.6397317136870697	24005
383	culture	-0.9777048673131504	23885
339	practice	-1.0143239945173264	23610
402	site	-1.5371058540185911	23352
498	science	0.5244809433352202	23322
409	story	-0.657196773448959	23316
506	post	-0.5407968177460134	23315
574	club	-1.552211113885278	23312
598	bill	-0.5727032311260699	23255
378	original	-0.7167571354657412	23156
393	short	0.6924739331589079	23005
491	project	-0.5715326697099954	22865
634	division	-1.6143012251704931	22847
4936	congress	-0.9554447991540655	22802
349	exist	-0.9766278131864964	22758
490	fight	-0.6566798449493945	22693
468	band	-0.9232874165754764	22396
448	ship	-1.3534095748327672	22285
658	fund	-1.1649145336705258	22157
375	send	-0.5860302262008189	22111
435	sell	-1.0295968791469932	22014
635	southern	-1.0072047188295985	21822
691	northern	-0.9396320236846804	21807
376	generally	0.5932640740647912	21707
411	despite	-0.6655721976421773	21701
22006	france	0.6330487520317547	21512
401	date	-0.5798063299153	21390
412	version	-0.9223001013160684	21387
774	governor	-1.0150323784910142	21113
429	primary	-0.5273679678793997	21028
494	operation	-0.7710824180394411	20881
456	standard	-0.912719815503806	20837
485	week	-1.033235360402614	20808
53008	washington	0.5229464755393565	20748
428	half	-0.6475361110642552	20736
1372	kingdom	-1.9916498949751256	20645
1425	empire	-1.351300919195637	20590
437	direct	0.8575014155358076	20553
540	station	-0.9682717921677976	20345
417	carry	-0.5580587986623868	20306
542	little	0.6002870695665479	20136
1366	department	-1.2558635617024263	20116
450	structure	-1.0164738761959595	20107
560	special	0.5172075334412511	20060
421	reduce	0.7221544850617647	20057
42807	william	0.7705675628967583	19899
916	eastern	-1.2002062792889774	19881
495	authority	-1.0147191584110258	19698
483	natural	0.5369856231845915	19585
467	majority	-0.6387305385433137	19539
477	tell	0.6334628467448056	19470
478	locate	-1.0065608108707238	19356
596	network	-1.0789636420086026	18960
512	industry	-1.2076418208889663	18934
551	operate	-1.0524449929034745	18925
466	effort	-0.6007961700670421	18830
854	board	-0.5540411921683699	18490
1218	street	-0.8264243174344301	18267
500	unit	-1.169529658043757	18228
489	element	-0.6404647687450051	18092
549	today	-0.9509726213291289	18048
716	chinese	-0.5882930080406368	18030
532	plant	-0.8987360838800669	17706
471	method	-0.5821812474168837	17614
28175	india	0.7541063092648983	17499
557	wife	-0.6580571490339935	17303
857	road	-1.1169015408959242	17303
520	self	0.7061868621967733	17274
536	oppose	0.5019000833854079	17252
624	territory	-2.2918835869058967	17109
569	economy	-1.0950359522830695	17104
602	mother	-1.2452026098617353	17099
681	police	-0.6475287317298353	16946
501	certain	0.6980317085981369	16934
814	centre	-0.6229028003290296	16857
555	author	0.7274838934536092	16775
558	percent	-0.7891116723185405	16679
82	part	-0.5444955928251147	16610
661	ancient	-0.6366390984039754	16521
2318	republic	-1.0737810332793742	16402
562	separate	-0.6133240454364568	16381
589	money	-0.6852893837203737	15992
601	seat	-0.9156597200781108	15982
618	nature	0.6101897279731929	15541
623	real	0.5953292656922713	15434
790	read	0.7170684557640925	15331
1484	royal	-1.2946714721620085	15272
1350	constitution	-0.6278446968644857	15237
590	loss	-0.536411122768186	15228
